PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,HasCabin,Sex_Encoded,Embarked_Encoded,Title_Encoded,AgeGroup_Encoded,FareBin_Encoded
1,0,3,22.0,1,0,7.25,2,0,0,1,2,2,0,1
2,1,1,38.0,1,0,71.2833,2,0,1,0,0,3,2,3
3,1,3,26.0,0,0,7.925,1,1,0,0,2,1,0,2
4,1,1,35.0,1,0,53.1,2,0,1,0,2,3,0,3
5,0,3,35.0,0,0,8.05,1,1,0,1,2,2,0,2
6,0,3,26.0,0,0,8.4583,1,1,0,1,1,2,0,2
7,0,1,54.0,0,0,51.8625,1,1,1,1,2,2,2,3
8,0,3,2.0,3,1,21.075,5,0,0,1,2,0,1,0
9,1,3,27.0,0,2,11.1333,3,0,0,0,2,3,0,2
10,1,2,14.0,1,0,30.0708,2,0,0,0,0,3,4,0
11,1,3,4.0,1,1,16.7,3,0,1,0,2,1,1,0
12,1,1,58.0,0,0,26.55,1,1,1,0,2,1,2,0
13,0,3,20.0,0,0,8.05,1,1,0,1,2,2,0,2
14,0,3,39.0,1,5,31.275,7,0,0,1,2,2,2,3
15,0,3,14.0,0,0,7.8542,1,1,0,0,2,1,4,1
16,1,2,55.0,0,0,16.0,1,1,0,0,2,3,2,0
17,0,3,2.0,4,1,29.125,6,0,0,1,1,0,1,0
18,1,2,31.0,0,0,13.0,1,1,0,1,2,2,0,2
19,0,3,31.0,1,0,18.0,2,0,0,0,2,3,0,0
20,1,3,31.0,0,0,7.225,1,1,0,0,0,3,0,1
21,0,2,35.0,0,0,26.0,1,1,0,1,2,2,0,0
22,1,2,34.0,0,0,13.0,1,1,1,1,2,2,0,2
23,1,3,15.0,0,0,8.0292,1,1,0,0,1,1,4,2
24,1,1,28.0,0,0,35.5,1,1,1,1,2,2,0,3
25,0,3,8.0,3,1,21.075,5,0,0,0,2,1,1,0
26,1,3,38.0,1,5,31.3875,7,0,0,0,2,3,2,3
27,0,3,26.0,0,0,7.225,1,1,0,1,0,2,0,1
28,0,1,19.0,3,2,263.0,6,0,1,1,2,2,0,3
29,1,3,18.0,0,0,7.8792,1,1,0,0,1,1,4,1
30,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
31,0,1,40.0,0,0,27.7208,1,1,0,1,0,4,2,0
32,1,1,40.0,1,0,146.5208,2,0,1,0,0,3,2,3
33,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
34,0,2,66.0,0,0,10.5,1,1,0,1,2,2,3,2
35,0,1,28.0,1,0,82.1708,2,0,0,1,0,2,0,3
36,0,1,42.0,1,0,52.0,2,0,0,1,2,2,2,3
37,1,3,26.0,0,0,7.2292,1,1,0,1,0,2,0,1
38,0,3,21.0,0,0,8.05,1,1,0,1,2,2,0,2
39,0,3,18.0,2,0,18.0,3,0,0,0,2,1,4,0
40,1,3,14.0,1,0,11.2417,2,0,0,0,0,1,4,2
41,0,3,40.0,1,0,9.475,2,0,0,0,2,3,2,2
42,0,2,27.0,1,0,21.0,2,0,0,0,2,3,0,0
43,0,3,26.0,0,0,7.8958,1,1,0,1,0,2,0,1
44,1,2,3.0,1,2,41.5792,4,0,0,0,0,1,1,3
45,1,3,19.0,0,0,7.8792,1,1,0,0,1,1,0,1
46,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
47,0,3,26.0,1,0,15.5,2,0,0,1,1,2,0,0
48,1,3,18.0,0,0,7.75,1,1,0,0,1,1,4,1
49,0,3,26.0,2,0,21.6792,3,0,0,1,0,2,0,0
50,0,3,18.0,1,0,17.8,2,0,0,0,2,3,4,0
51,0,3,7.0,4,1,39.6875,6,0,0,1,2,0,1,3
52,0,3,21.0,0,0,7.8,1,1,0,1,2,2,0,1
53,1,1,49.0,1,0,76.7292,2,0,1,0,0,3,2,3
54,1,2,29.0,1,0,26.0,2,0,0,0,2,3,0,0
55,0,1,65.0,0,1,61.9792,2,0,1,1,0,2,3,3
56,1,1,40.0,0,0,35.5,1,1,1,1,2,2,2,3
57,1,2,21.0,0,0,10.5,1,1,0,0,2,1,0,2
58,0,3,28.5,0,0,7.2292,1,1,0,1,0,2,0,1
59,1,2,5.0,1,2,27.75,4,0,0,0,2,1,1,0
60,0,3,11.0,5,2,46.9,8,0,0,1,2,0,1,3
61,0,3,22.0,0,0,7.2292,1,1,0,1,0,2,0,1
62,1,1,38.0,0,0,80.0,1,1,1,0,2,1,2,3
63,0,1,45.0,1,0,83.475,2,0,1,1,2,2,2,3
64,0,3,4.0,3,2,27.9,6,0,0,1,2,0,1,0
65,0,1,40.0,0,0,27.7208,1,1,0,1,0,2,2,0
66,1,3,4.0,1,1,15.2458,3,0,0,1,0,0,1,0
67,1,2,29.0,0,0,10.5,1,1,1,0,2,3,0,2
68,0,3,19.0,0,0,8.1583,1,1,0,1,2,2,0,2
69,1,3,17.0,4,2,7.925,7,0,0,0,2,1,4,2
70,0,3,26.0,2,0,8.6625,3,0,0,1,2,2,0,2
71,0,2,32.0,0,0,10.5,1,1,0,1,2,2,0,2
72,0,3,16.0,5,2,46.9,8,0,0,0,2,1,4,3
73,0,2,21.0,0,0,73.5,1,1,0,1,2,2,0,3
74,0,3,26.0,1,0,14.4542,2,0,0,1,0,2,0,2
75,1,3,32.0,0,0,56.4958,1,1,0,1,2,2,0,3
76,0,3,25.0,0,0,7.65,1,1,1,1,2,2,0,1
77,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
78,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
79,1,2,0.83,0,2,29.0,3,0,0,1,2,0,1,0
80,1,3,30.0,0,0,12.475,1,1,0,0,2,1,0,2
81,0,3,22.0,0,0,9.0,1,1,0,1,2,2,0,2
82,1,3,29.0,0,0,9.5,1,1,0,1,2,2,0,2
83,1,3,18.0,0,0,7.7875,1,1,0,0,1,1,4,1
84,0,1,28.0,0,0,47.1,1,1,0,1,2,2,0,3
85,1,2,17.0,0,0,10.5,1,1,0,0,2,1,4,2
86,1,3,33.0,3,0,15.85,4,0,0,0,2,3,0,0
87,0,3,16.0,1,3,34.375,5,0,0,1,2,2,4,3
88,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
89,1,1,23.0,3,2,263.0,6,0,1,0,2,1,0,3
90,0,3,24.0,0,0,8.05,1,1,0,1,2,2,0,2
91,0,3,29.0,0,0,8.05,1,1,0,1,2,2,0,2
92,0,3,20.0,0,0,7.8542,1,1,0,1,2,2,0,1
93,0,1,46.0,1,0,61.175,2,0,1,1,2,2,2,3
94,0,3,26.0,1,2,20.575,4,0,0,1,2,2,0,0
95,0,3,59.0,0,0,7.25,1,1,0,1,2,2,2,1
96,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
97,0,1,71.0,0,0,34.6542,1,1,1,1,0,2,3,3
98,1,1,23.0,0,1,63.3583,2,0,1,1,0,2,0,3
99,1,2,34.0,0,1,23.0,2,0,0,0,2,3,0,0
100,0,2,34.0,1,0,26.0,2,0,0,1,2,2,0,0
101,0,3,28.0,0,0,7.8958,1,1,0,0,2,1,0,1
102,0,3,26.0,0,0,7.8958,1,1,0,1,2,2,0,1
103,0,1,21.0,0,1,77.2875,2,0,1,1,2,2,0,3
104,0,3,33.0,0,0,8.6542,1,1,0,1,2,2,0,2
105,0,3,37.0,2,0,7.925,3,0,0,1,2,2,2,2
106,0,3,28.0,0,0,7.8958,1,1,0,1,2,2,0,1
107,1,3,21.0,0,0,7.65,1,1,0,0,2,1,0,1
108,1,3,26.0,0,0,7.775,1,1,0,1,2,2,0,1
109,0,3,38.0,0,0,7.8958,1,1,0,1,2,2,2,1
110,1,3,18.0,1,0,24.15,2,0,0,0,1,1,4,0
111,0,1,47.0,0,0,52.0,1,1,1,1,2,2,2,3
112,0,3,14.5,1,0,14.4542,2,0,0,0,0,1,4,2
113,0,3,22.0,0,0,8.05,1,1,0,1,2,2,0,2
114,0,3,20.0,1,0,9.825,2,0,0,0,2,1,0,2
115,0,3,17.0,0,0,14.4583,1,1,0,0,0,1,4,0
116,0,3,21.0,0,0,7.925,1,1,0,1,2,2,0,2
117,0,3,70.5,0,0,7.75,1,1,0,1,1,2,3,1
118,0,2,29.0,1,0,21.0,2,0,0,1,2,2,0,0
119,0,1,24.0,0,1,247.5208,2,0,1,1,0,2,0,3
120,0,3,2.0,4,2,31.275,7,0,0,0,2,1,1,3
121,0,2,21.0,2,0,73.5,3,0,0,1,2,2,0,3
122,0,3,26.0,0,0,8.05,1,1,0,1,2,2,0,2
123,0,2,32.5,1,0,30.0708,2,0,0,1,0,2,0,0
124,1,2,32.5,0,0,13.0,1,1,1,0,2,1,0,2
125,0,1,54.0,0,1,77.2875,2,0,1,1,2,2,2,3
126,1,3,12.0,1,0,11.2417,2,0,0,1,0,0,1,2
127,0,3,26.0,0,0,7.75,1,1,0,1,1,2,0,1
128,1,3,24.0,0,0,7.1417,1,1,0,1,2,2,0,1
129,1,3,18.0,1,1,22.3583,3,0,1,0,0,1,4,0
130,0,3,45.0,0,0,6.975,1,1,0,1,2,2,2,1
131,0,3,33.0,0,0,7.8958,1,1,0,1,0,2,0,1
132,0,3,20.0,0,0,7.05,1,1,0,1,2,2,0,1
133,0,3,47.0,1,0,14.5,2,0,0,0,2,3,2,0
134,1,2,29.0,1,0,26.0,2,0,0,0,2,3,0,0
135,0,2,25.0,0,0,13.0,1,1,0,1,2,2,0,2
136,0,2,23.0,0,0,15.0458,1,1,0,1,0,2,0,0
137,1,1,19.0,0,2,26.2833,3,0,1,0,2,1,0,0
138,0,1,37.0,1,0,53.1,2,0,1,1,2,2,2,3
139,0,3,16.0,0,0,9.2167,1,1,0,1,2,2,4,2
140,0,1,24.0,0,0,79.2,1,1,1,1,0,2,0,3
141,0,3,31.0,0,2,15.2458,3,0,0,0,0,3,0,0
142,1,3,22.0,0,0,7.75,1,1,0,0,2,1,0,1
143,1,3,24.0,1,0,15.85,2,0,0,0,2,3,0,0
144,0,3,19.0,0,0,6.75,1,1,0,1,1,2,0,1
145,0,2,18.0,0,0,11.5,1,1,0,1,2,2,4,2
146,0,2,19.0,1,1,36.75,3,0,0,1,2,2,0,3
147,1,3,27.0,0,0,7.7958,1,1,0,1,2,2,0,1
148,0,3,9.0,2,2,34.375,5,0,0,0,2,1,1,3
149,0,2,36.5,0,2,26.0,3,0,1,1,2,2,2,0
150,0,2,42.0,0,0,13.0,1,1,0,1,2,4,2,2
151,0,2,51.0,0,0,12.525,1,1,0,1,2,4,2,2
152,1,1,22.0,1,0,66.6,2,0,1,0,2,3,0,3
153,0,3,55.5,0,0,8.05,1,1,0,1,2,2,2,2
154,0,3,40.5,0,2,14.5,3,0,0,1,2,2,2,0
155,0,3,26.0,0,0,7.3125,1,1,0,1,2,2,0,1
156,0,1,51.0,0,1,61.3792,2,0,0,1,0,2,2,3
157,1,3,16.0,0,0,7.7333,1,1,0,0,1,1,4,1
158,0,3,30.0,0,0,8.05,1,1,0,1,2,2,0,2
159,0,3,26.0,0,0,8.6625,1,1,0,1,2,2,0,2
160,0,3,4.0,8,2,69.55,11,0,0,1,2,0,1,3
161,0,3,44.0,0,1,16.1,2,0,0,1,2,2,2,0
162,1,2,40.0,0,0,15.75,1,1,0,0,2,3,2,0
163,0,3,26.0,0,0,7.775,1,1,0,1,2,2,0,1
164,0,3,17.0,0,0,8.6625,1,1,0,1,2,2,4,2
165,0,3,1.0,4,1,39.6875,6,0,0,1,2,0,1,3
166,1,3,9.0,0,2,20.525,3,0,0,1,2,0,1,0
167,1,1,40.0,0,1,55.0,2,0,1,0,2,3,2,3
168,0,3,45.0,1,4,27.9,6,0,0,0,2,3,2,0
169,0,1,40.0,0,0,25.925,1,1,0,1,2,2,2,0
170,0,3,28.0,0,0,56.4958,1,1,0,1,2,2,0,3
171,0,1,61.0,0,0,33.5,1,1,1,1,2,2,3,3
172,0,3,4.0,4,1,29.125,6,0,0,1,1,0,1,0
173,1,3,1.0,1,1,11.1333,3,0,0,0,2,1,1,2
174,0,3,21.0,0,0,7.925,1,1,0,1,2,2,0,2
175,0,1,56.0,0,0,30.6958,1,1,1,1,0,2,2,0
176,0,3,18.0,1,1,7.8542,3,0,0,1,2,2,4,1
177,0,3,4.0,3,1,25.4667,5,0,0,1,2,0,1,0
178,0,1,50.0,0,0,28.7125,1,1,1,0,0,1,2,0
179,0,2,30.0,0,0,13.0,1,1,0,1,2,2,0,2
180,0,3,36.0,0,0,0.0,1,1,0,1,2,2,2,1
181,0,3,18.0,8,2,69.55,11,0,0,0,2,1,4,3
182,0,2,31.0,0,0,15.05,1,1,0,1,0,2,0,0
183,0,3,9.0,4,2,31.3875,7,0,0,1,2,0,1,3
184,1,2,1.0,2,1,39.0,4,0,1,1,2,0,1,3
185,1,3,4.0,0,2,22.025,3,0,0,0,2,1,1,0
186,0,1,40.0,0,0,50.0,1,1,1,1,2,2,2,3
